Date,Fundflow
2009-11-03, 0.0
2009-11-08, 0.0
2009-11-09, 0.0
2009-11-10, 0.003849
2009-11-11, 0.0
2009-11-12, 0.0
2009-11-15, 0.020536
2009-11-16, 0.001304
2009-11-17, 0.0
2009-11-18, 0.0
2009-11-19, 0.0
2009-11-22, 0.0
2009-11-23, 0.0
2009-11-24, 0.0
2009-11-26, 0.001302
2009-11-29, 0.0
2009-11-30, 0.0089845
2009-12-01, 0.0
2009-12-02, 0.0
2009-12-03, 0.0
2009-12-06, 0.0039
2009-12-07, 0.0
2009-12-08, 0.0
2009-12-09, 0.011601
2009-12-10, 0.001296
2009-12-13, 0.0
2009-12-14, 0.0039375
2009-12-15, 0.0
2009-12-16, 0.0
2009-12-17, 0.0
2009-12-20, 0.009121
2009-12-21, 0.0
2009-12-22, 0.002645
2009-12-23, 0.0
2009-12-27, 0.0
2009-12-28, 0.0
2009-12-29, 0.0093135
2009-12-30, 0.0
2010-01-03, 0.0013165
2010-01-04, 0.0093695
2010-01-05, 0.001343
2010-01-06, 0.0
2010-01-07, 0.0094535
2010-01-10, 0.0
2010-01-11, 0.0
2010-01-12, 0.0040275
2010-01-13, 0.002709
2010-01-14, 0.0
2010-01-18, 0.0
2010-01-19, 0.0
2010-01-20, 0.0
2010-01-21, 0.005292
2010-01-24, 0.0
2010-01-25, 0.0
2010-01-26, 0.0012935
2010-01-27, 0.0091
2010-01-28, 0.0
2010-01-31, 0.0
2010-02-01, 0.002581
2010-02-02, 0.0
2010-02-03, 0.0
2010-02-04, 0.0
2010-02-07, 0.006310975
2010-02-08, 0.0
2010-02-09, 0.0
2010-02-10, 0.001266085
2010-02-11, 0.0
2010-02-15, 0.0
2010-02-16, 0.009114
2010-02-17, 0.0
2010-02-18, 0.0
2010-02-21, 0.0
2010-02-22, 0.0
2010-02-23, 0.0
2010-02-24, 0.0
2010-02-25, 0.0
2010-02-28, 0.0
2010-03-01, 0.0
2010-03-02, 0.0
2010-03-03, 0.0
2010-03-04, 0.0
2010-03-07, 0.0
2010-03-08, 0.0
2010-03-09, 0.0
2010-03-10, 0.010952
2010-03-11, 0.0096215
2010-03-14, 0.0
2010-03-15, 0.0
2010-03-16, 0.00693
2010-03-17, 0.0
2010-03-18, 0.0
2010-03-21, 0.0
2010-03-22, 0.0
2010-03-23, 0.001398
2010-03-24, 0.0
2010-03-25, 0.0
2010-03-28, 0.0
2010-03-29, 0.0
2010-03-30, 0.0
2010-03-31, 0.0
