Date,Fundflow
2009-08-27, 0.001905
2009-08-30, 0.01329825
2009-08-31, 0.00582075
2009-09-01, 0.0
2009-09-02, 0.0
2009-09-03, 0.0
2009-09-07, 0.00762
2009-09-08, 0.005598
2009-09-09, 0.0
2009-09-10, 0.0
2009-09-13, 0.0
2009-09-14, 0.0
2009-09-15, -0.00176775
2009-09-16, 0.0
2009-09-17, 0.013776
2009-09-20, 0.0
2009-09-21, 0.006804
2009-09-22, 0.01526175
2009-09-23, 0.0
2009-09-24, 0.0
2009-09-27, 0.0
2009-09-28, 0.0
2009-09-29, 0.0
2009-09-30, 0.0
2009-10-01, 0.0
2009-10-04, -0.01653075
2009-10-05, 0.0
2009-10-06, -0.006972
2009-10-07, 0.0
2009-10-08, 0.0
2009-10-11, 0.0
2009-10-12, 0.0
2009-10-13, 0.0
2009-10-14, 0.0
2009-10-15, -0.008235
2009-10-18, -0.00167325
2009-10-19, 0.0
2009-10-20, 0.0
2009-10-21, 0.0
2009-10-22, 0.0
2009-10-25, 0.0
2009-10-26, 0.02485125
2009-10-27, 0.0
2009-10-28, 0.0
2009-10-29, -0.024087
2009-11-01, -0.007239
2009-11-02, 0.0
2009-11-03, 0.014268
2009-11-04, 0.00889875
2009-11-05, 0.0389505
2009-11-08, 0.013392
2009-11-09, 0.0160125
2009-11-10, 0.0
2009-11-11, 0.0
2009-11-12, 0.0
2009-11-15, 0.0
2009-11-16, -0.00765375
2009-11-17, 0.0091305
2009-11-18, 0.0
2009-11-19, -0.0158775
2009-11-22, -0.009621
2009-11-23, -0.010857
2009-11-24, 0.0
2009-11-26, -0.0092925
2009-11-29, -0.012774
2009-11-30, -0.019125
2009-12-01, 0.0
2009-12-02, 0.0
2009-12-03, 0.02660925
2009-12-06, 0.0
2009-12-07, -0.009378
2009-12-08, -0.0142425
2009-12-09, -0.0155175
2009-12-10, 0.003069
2009-12-13, 0.0
2009-12-14, -0.010626
2009-12-15, -0.010752
2009-12-16, 0.0
2009-12-17, 0.0
2009-12-20, -0.004554
2009-12-21, 0.0
2009-12-22, 0.0
2009-12-23, 0.0
2009-12-27, 0.0
2009-12-28, 0.0
2009-12-29, 0.0
2009-12-30, 0.0
2010-01-03, 0.01001175
2010-01-04, 0.0
2010-01-05, 0.0138675
2010-01-06, 0.0
2010-01-07, 0.011226
2010-01-10, 0.0
