Date,Fundflow
2011-01-27, 0.005573835
2011-01-30, 0.0
2011-01-31, 0.004378885
2011-02-01, 0.00741825
2011-02-02, 0.00248254
2011-02-03, 0.0
2011-02-06, 0.0
2011-02-07, 0.0
2011-02-08, -0.0137633725
2011-02-09, 0.0
2011-02-10, 0.0
2011-02-13, 0.015264795
2011-02-14, 0.0
2011-02-15, 0.0
2011-02-16, 0.0005873275
2011-02-17, 0.005897675
2011-02-21, 0.0
2011-02-22, 0.00243443
2011-02-23, 0.0
2011-02-24, 0.0
2011-02-27, 0.0
2011-02-28, 0.0
2011-03-01, 0.00247286
2011-03-02, 0.0
2011-03-03, 0.0
2011-03-06, 0.0
2011-03-07, 0.001851495
2011-03-08, 0.0
2011-03-09, 0.0
2011-03-10, 0.0
2011-03-13, 0.00488612
2011-03-14, 0.0
2011-03-15, 0.0
2011-03-16, 0.0
2011-03-17, 0.0
2011-03-20, -0.0012486
2011-03-21, 0.0
2011-03-22, 0.0
2011-03-23, -0.00369417
2011-03-24, 0.0
2011-03-27, 0.0
2011-03-28, 0.0
2011-03-29, 0.0
2011-03-30, 0.00118813
2011-03-31, 0.0
2011-04-03, 0.0
2011-04-04, -0.00179079
2011-04-05, 0.0
2011-04-06, 0.0
2011-04-07, 0.0
2011-04-10, 0.0
2011-04-11, 0.0029606625
2011-04-12, 0.000596085
2011-04-13, 0.0
2011-04-14, 0.0
2011-04-17, 0.0005888025
2011-04-18, 0.0
2011-04-19, 0.0
2011-04-20, 0.0
2011-04-24, 0.00057083
2011-04-25, 0.0
2011-04-26, 0.0
2011-04-27, 0.0
2011-04-28, 0.0
2011-05-01, -0.00111135
2011-05-02, 0.001112635
2011-05-03, 0.0
2011-05-04, 0.0
2011-05-05, 0.0
2011-05-08, 0.0
2011-05-09, 0.0
2011-05-10, 0.0
2011-05-11, 0.0
2011-05-12, 0.0
2011-05-15, 0.0
2011-05-16, 0.0
2011-05-17, -0.0005535375
2011-05-18, 0.0
2011-05-19, 0.0
2011-05-22, 0.0
2011-05-23, 0.0005620925
2011-05-24, 0.0
2011-05-25, 0.0
2011-05-26, 0.0
2011-05-30, 0.0
2011-05-31, 0.0
2011-06-01, 0.0
2011-06-02, 0.0
2011-06-05, 0.0
2011-06-06, 0.0005810925
2011-06-07, 0.0
2011-06-08, 0.0
2011-06-09, 0.0
2011-06-12, 0.0
2011-06-13, 0.0
2011-06-14, 0.0
2011-06-15, -0.0005924225
2011-06-16, 0.0053453025
2011-06-19, 0.0
2011-06-20, 0.0
2011-06-21, 0.0
2011-06-22, 0.0
2011-06-23, 0.0
2011-06-26, 0.0
2011-06-27, 0.00116539
2011-06-28, 0.0017185575
2011-06-29, 0.0
2011-07-05, 0.0
2011-07-06, 0.0
2011-07-07, 0.0
2011-07-10, 0.0
2011-07-11, 0.0
2011-07-12, 0.0
2011-07-13, 0.0
2011-07-14, 0.0
2011-07-17, 0.0
2011-07-18, 0.0
2011-07-19, 0.0
2011-07-20, 0.0
2011-07-21, -0.0028677625
2011-07-24, 0.0
2011-07-25, -0.0017333925
2011-07-26, 0.0
2011-07-27, 0.0
2011-07-28, 0.0
2011-07-31, 0.0
2011-08-01, 0.0
2011-08-02, 0.0
2011-08-03, 0.0
2011-08-04, 0.0
2011-08-07, 0.0046403175
2011-08-08, 0.0
2011-08-09, -0.00136836
2011-08-10, -0.0035362
2011-08-11, -0.001360325
2011-08-14, 0.0
2011-08-15, -0.001321745
2011-08-16, 0.0
2011-08-17, 0.001344975
2011-08-18, 0.0
2011-08-21, 0.00644634
2011-08-22, 0.002152605
2011-08-23, 0.00974015
2011-08-24, 0.0020554125
2011-08-25, 0.0
2011-08-28, 0.0
2011-08-29, 0.0
2011-08-30, 0.0
2011-08-31, 0.0
2011-09-01, 0.0033035625
2011-09-05, 0.0
2011-09-06, 0.0
2011-09-07, 0.0
2011-09-08, 0.0
