Date,Fundflow
2009-08-27, 0.0
2009-08-30, 0.0
2009-08-31, 0.0
2009-09-01, 0.0
2009-09-02, 0.0
2009-09-03, 0.0
2009-09-07, 0.0
2009-09-08, 0.0
2009-09-09, 0.0
2009-09-10, 0.0
2009-09-13, 0.0
2009-09-14, 0.000872435
2009-09-15, 0.000894
2009-09-16, 0.0
2009-09-17, 0.0
2009-09-20, 0.0
2009-09-21, 0.0
2009-09-22, 0.0
2009-09-23, 0.0
2009-09-24, 0.0008825
2009-09-27, 0.000869945
2009-09-28, 0.0
2009-09-29, 0.0
2009-09-30, 0.0
2009-10-01, 0.00254511
2009-10-04, -0.00250617
2009-10-05, 0.0
2009-10-06, 0.0
2009-10-07, 0.0
2009-10-08, 0.0
2009-10-11, 0.0
2009-10-12, 0.000898815
2009-10-13, 0.0
2009-10-14, 0.0
2009-10-15, 0.0
2009-10-18, 0.0
2009-10-19, 0.0
2009-10-20, 0.0
2009-10-21, 0.000897
2009-10-22, 0.0
2009-10-25, 0.0
2009-10-26, 0.0
2009-10-27, 0.0
2009-10-28, 0.0
2009-10-29, 0.0
2009-11-01, 0.003274
2009-11-02, 0.0
2009-11-03, 0.0
2009-11-04, 0.0
2009-11-05, 0.0
2009-11-08, 0.0
2009-11-11, 0.0
2009-11-12, 0.0
2009-11-15, 0.000884
2009-11-16, 0.003632
2009-11-17, 0.0
2009-11-18, 0.000909
2009-11-23, 0.0009035
2009-12-01, 0.0
2009-12-02, 0.00092489
2009-12-03, 0.0
2009-12-06, 0.0
2009-12-07, 0.002775
2009-12-08, 0.0009145
2009-12-09, 0.0
2009-12-10, 0.0
2009-12-13, 0.0009315
2009-12-14, 0.0
2009-12-15, 0.0
2009-12-16, 0.0
2009-12-17, 0.0
2009-12-20, 0.0
2009-12-21, 0.00474
2009-12-22, 0.0
2009-12-23, 0.0
2009-12-27, 0.0
2009-12-30, 0.00381746
2010-01-03, 0.0
2010-01-04, 0.008724645
2010-01-05, -0.00782196
2010-01-06, 0.0
2010-01-07, 0.00198136
2010-01-10, 0.0
2010-01-11, 0.00599229
2010-01-12, 0.00097771
2010-01-13, 0.0
2010-01-14, 0.00097921
2010-01-18, 0.00194094
2010-01-19, 0.0
2010-01-20, 0.0
2010-01-21, 0.0
2010-01-24, 0.002766075
2010-01-25, 0.0
2010-01-26, 0.0
2010-01-27, 0.00092786
2010-01-28, 0.0
2010-01-31, 0.0
2010-02-01, 0.0
2010-02-02, 0.018738
2010-02-03, 0.0
