Date,Fundflow
2009-08-27, -0.0109
2009-08-30, 0.0
2009-08-31, -0.032214
2009-09-01, 0.005244
2009-09-02, 0.0
2009-09-03, 0.0
2009-09-07, 0.0
2009-09-08, 0.0
2009-09-09, 0.00556
2009-09-10, 0.005641
2009-09-13, 0.011277636
2009-09-14, 0.0
2009-09-15, 0.005732
2009-09-16, 0.0
2009-09-17, 0.0
2009-09-20, 0.01166
2009-09-21, 0.0
2009-09-22, 7.631e-06
2009-09-23, 0.005812
2009-09-24, 0.0
2009-09-27, 6.18357e-05
2009-09-28, 0.0
2009-09-29, 0.0
2009-09-30, 0.0
2009-10-01, 0.0
2009-10-04, 0.0
2009-10-05, 0.0
2009-10-06, 2.2888e-06
2009-10-07, 0.0
2009-10-08, 0.023112
2009-10-11, -0.040845
2009-10-12, 0.0
2009-10-13, -0.023276
2009-10-14, -0.124467
2009-10-15, 0.005936
2009-10-18, 0.0
2009-10-19, 2.13084e-05
2009-10-20, 0.0
2009-10-21, 0.0
2009-10-22, 0.0
2009-10-25, 0.0
2009-10-26, 0.0
2009-10-27, 0.0
2009-10-28, 0.026915
2009-10-29, -0.005512
2009-11-01, 0.0
2009-11-02, -0.021496
2009-11-03, 0.0
2009-11-04, 0.0
2009-11-05, 0.0
2009-11-08, 0.005579
2009-11-09, 0.0
2009-11-10, 0.0
2009-11-11, 0.0
2009-11-12, 0.0
2009-11-15, -0.005646
2009-11-16, 0.0
2009-11-17, 0.0
2009-11-18, 0.005739
2009-11-19, -0.005609
2009-11-22, 0.00558
2009-11-23, 0.16962
2009-11-24, -0.005633
2009-11-26, 0.0
2009-11-29, 0.0
2009-11-30, -0.16554
2009-12-01, 0.0
2009-12-02, 0.005677
2009-12-03, 0.0
2009-12-06, 0.005743
2009-12-07, 0.0
2009-12-08, 0.005698
2009-12-09, 0.0
2009-12-10, 0.0
2009-12-13, 0.0
2009-12-14, 0.0
2009-12-15, 0.0
2009-12-16, 0.0
2009-12-17, 0.0
2009-12-20, 0.005853
2009-12-21, 0.0
2009-12-22, 0.0
2009-12-23, 0.006059
2009-12-27, 0.0
2009-12-28, 0.0
2009-12-29, 0.006054
2009-12-30, 0.0
2010-01-03, 0.0
2010-01-04, 0.0
2010-01-05, 0.0
2010-01-06, 0.0
2010-01-07, 0.0
2010-01-10, 0.006218
2010-01-11, 0.0
2010-01-12, 0.0
2010-01-13, 0.006193
2010-01-14, 0.0
2010-01-18, 0.0
2010-01-19, 0.018654
2010-01-20, 0.0
2010-01-21, 0.0
2010-01-24, 0.0
2010-01-25, 0.0
2010-01-26, 8.178760000000001e-05
2010-01-27, 1.8956799999999998e-05
2010-01-28, 0.0
2010-01-31, -0.005769
2010-02-01, 0.0
2010-02-02, 0.0
2010-02-03, 0.0
2010-02-04, 0.01136
2010-02-07, 0.0
2010-02-08, -0.011294
2010-02-09, 0.0
2010-02-10, 0.0
2010-02-11, -0.01752
2010-02-15, 0.0
2010-02-16, 0.0
2010-02-17, 0.0
2010-02-18, 0.0
2010-02-21, 0.0
2010-02-22, 0.0
2010-02-23, 0.0
2010-02-24, 0.024136
2010-02-25, 8.809639999999999e-05
2010-02-28, -0.02416
2010-03-01, 0.0
