Date,Fundflow
2014-05-01, 0.0
2014-05-04, 0.0
2014-05-05, 0.0
2014-05-06, 0.0
2014-05-07, 0.0
2014-05-08, 0.002496
2014-05-11, 0.0
2014-05-12, 0.0
2014-05-13, 0.0
2014-05-14, 0.0
2014-05-15, 0.0025
2014-05-18, 0.0
2014-05-19, 0.0
2014-05-20, 0.0
2014-05-21, 0.0
2014-05-22, 0.0
2014-05-26, 0.0
2014-05-27, 0.0
2014-05-28, 0.0
2014-05-29, 0.0
2014-06-01, 0.0
2014-06-02, 0.0
2014-06-03, 0.0
2014-06-04, 0.00251
2014-06-05, 0.0
2014-06-08, 0.0
2014-06-09, 0.0
2014-06-10, 0.0
2014-06-11, 0.0
2014-06-12, 0.0
2014-06-15, 0.0
2014-06-16, 0.0
2014-06-17, 0.00251
2014-06-18, 0.0
2014-06-19, 0.0
2014-06-22, 0.0
2014-06-23, 0.0
2014-06-24, 0.0
2014-06-25, 0.002524
2014-06-26, 0.0
2014-06-29, 0.0
2014-06-30, 0.0
2014-07-01, 0.0
2014-07-02, 0.0
2014-07-06, 0.0
2014-07-07, 0.0
2014-07-08, 0.005058
2014-07-09, 0.0
2014-07-10, 0.0
2014-07-13, 0.0
2014-07-14, 0.0
2014-07-15, 0.0
2014-07-16, 0.0
2014-07-17, 0.0
2014-07-20, 0.0
2014-07-21, 0.0
2014-07-22, 0.00252
2014-07-23, 0.0
2014-07-24, 0.0
2014-07-27, 0.0
2014-07-28, 0.0
2014-07-29, 0.0
2014-07-30, 0.01262
2014-07-31, 0.0
2014-08-03, 0.0
2014-08-04, 0.0
2014-08-05, 0.002498
2014-08-06, 0.0
2014-08-07, 0.002507
2014-08-10, 0.0
2014-08-11, 0.007527
2014-08-12, 0.0
2014-08-13, 0.005034
2014-08-14, 0.002519
2014-08-17, 0.0
2014-08-18, 0.0
2014-08-19, 0.002515
2014-08-20, 0.0
2014-08-21, 0.0
2014-08-24, 0.0
2014-08-25, -2.52e-08
2014-08-26, 0.002522
2014-08-27, 0.0
2014-08-28, 0.0
2014-09-01, 0.0
2014-09-02, 0.0
2014-09-03, 0.0
2014-09-04, 0.0
2014-09-07, 0.002508
2014-09-08, 0.0
2014-09-09, 0.0
2014-09-10, 0.002499
2014-09-11, 0.005004
2014-09-14, 0.004996
2014-09-15, 0.0
2014-09-16, 0.0
2014-09-17, 0.0
2014-09-18, 0.0
2014-09-21, 0.0
2014-09-22, 0.0
2014-09-23, 0.0
2014-09-24, 0.0
2014-09-25, 0.0
2014-09-28, 0.0
2014-09-29, 0.0
2014-09-30, 0.0
2014-10-01, 0.0
2014-10-02, 0.0
2014-10-05, 0.0
2014-10-06, 0.0
2014-10-07, 0.0
2014-10-08, 0.0
2014-10-09, 0.00249
2014-10-12, 0.0
2014-10-13, 0.0
2014-10-14, 0.0
2014-10-15, 0.0
2014-10-16, 0.0
2014-10-19, 0.004948
2014-10-20, 0.0
2014-10-21, 0.0
2014-10-22, 0.0
